,Company Name,Founded,Location,Sector,What it does,Founders,Investor,Amount,Stage
1529,<td>Hesa</td>,<td>2020</td>,<td>Hyderabad</td>,<td>IT startup</td>,<td>HESA is connecting Bharat with India and India with Bharat Phygitally. We are bridging the gap for the world’s largest customer base that resides in rural India.</td>,"<td>Vamsi Udayagiri, Hema Nandiraju</td>","<td>Venture Catalysts, 9Unicorns</td>",<td>$2000000</td>,<td>Seed</td>
1530,<td>Powerhouse91</td>,<td>2020</td>,<td>Gurugram</td>,<td>Consumer goods</td>,"<td>A tech-driven company that acquires, operates, and scales outstanding ecommerce brands in India.</td>","<td>Shashwat Diesh, Aqib Mohammed</td>",<td>Crossbeam Venture Partners</td>,<td>$Undisclosed</td>,<td>Seed</td>
1531,<td>Nalanda Learning</td>,<td>2011</td>,<td>Kolkata</td>,<td>EdTech</td>,<td>India's 1st Online Preschool with Blended Learning Model</td>,<td>Tamal Mukherjee</td>,<td>Aavishkaar Capital</td>,<td>$5000000</td>,<td></td>
1532,<td>Chargeup</td>,<td>2019</td>,<td>New Delhi</td>,<td>Renewable Energy</td>,"<td>""Battery as a Service"" for 3 wheeler &amp; 2 wheelers</td>","<td>Varun Goenka, Akshay Kashyap</td>",<td>Mapmyindia</td>,<td>$Undisclosed</td>,<td>Pre-series A</td>
1533,<td>Knackit</td>,<td>2019</td>,<td>Bangalore</td>,<td>IT startup</td>,<td>Knackit is a talent sharing platform where users can showcase and monetize their artistry.</td>,"<td>Pranjal Kumar, Akanksha Bhardwaj</td>",<td>Jyoti Bansal</td>,<td>$100000</td>,<td></td>
1534,<td>Treebo Hotels</td>,<td>2015</td>,<td>Bangalore</td>,<td>Hospitality</td>,<td>Treebo Hotels is India's most loved hotel chain in the premium-budget segment.</td>,"<td>Sidharth Gupta, Kadam Jeet Jain, Rahul Chaudhary</td>",<td>Accor</td>,<td>$16000000</td>,<td>Series D</td>
1535,<td>Raptee Energy</td>,<td>2019</td>,<td>Chennai</td>,<td>Automotive</td>,<td>Raptee Energy Inc. is looking to accelerate the transition to smart and sustainable mobility!</td>,<td>Phunith Kumar</td>,<td></td>,<td>$700000</td>,<td></td>
1536,<td>Meddo</td>,<td>2018</td>,<td>Gurugram</td>,<td>Healthcare</td>,<td>Meddo (Arctern Healthcare) are re-defining how primary and secondary healthcare is provided in India through a connected care delivery platform.</td>,"<td>Saurabh Kochhar, Dr Naveen Nishchal</td>","<td>SRI Capital, Picus Capital, Alkemi Capital</td>",<td>$6000000</td>,<td></td>
1537,<td>Supertails</td>,<td>2021</td>,<td>Bangalore</td>,<td>Pet care</td>,<td>Supertails is building a digital pet care platform which offers expert led healthcare services and products.</td>,"<td>Vineet Khanna, Varun Sadana, Aman Tekriwal</td>","<td>Saama Capital, DSG Consumer Partners</td>",<td>$2600000</td>,<td>Pre-series A</td>
1538,<td>Lenskart</td>,<td>2010</td>,"<td>Faridabad, Haryana</td>",<td>Fashion </td>,<td>Lenskart is an India-based online shopping portal for eyewear.</td>,"<td>Amit Chaudhary, Peyush Bansal</td>","<td>Kohlberg Kravis Roberts, Temasek Holdings</td>","<td>$95,000,000</td>",<td></td>
1539,<td>ParkSmart</td>,<td>2018</td>,<td>New Delhi</td>,<td>Automotive</td>,<td>ParkSmart is a parking management application.</td>,"<td>Prateek Garg, Rahul Gupta, Ratan Anmol Sethi, Rishabh Nagpal, Vishva Sharma</td>","<td>Shireen Rangaswamy, Dilesh Gathani</td>",<td>Undisclosed</td>,<td>Seed</td>
1540,<td>Virohan</td>,<td>2018</td>,<td>Gurugram</td>,<td>EdTech</td>,<td>Virohan is an EdTech company that offers healthcare vocational training to students to build a career in the healthcare industry.</td>,"<td>Archit Jayasal, Kunaal Dudeja, Nalin Saluja, Paarul Dudeja</td>","<td>Rebright Partners, Wadhwani Foundation</td>","<td>$3,000,000</td>",<td>Series A</td>
1541,<td>BankSathi</td>,<td>2019</td>,<td>New Delhi</td>,<td>FinTech</td>,"<td>Bank Sathi provides loans, insurance, cards comparison, and approval facility.</td>",<td>Jitendra Dhaka</td>,"<td>Dinesh Godara, Aditya Talwar</td>","<td>$200,000</td>",<td>Seed</td>
1542,<td>Spark Studio</td>,<td>2020</td>,<td>Bangalore</td>,<td>EdTech</td>,<td>Online courses to build creativity and confidence in children through extra-curricular learning</td>,<td>Anushree Goenka</td>,<td>Better Capital</td>,<td>Undisclosed</td>,<td>Seed</td>
1543,<td>BlissClub</td>,<td>2020</td>,<td>Bangalore</td>,<td>Fashion </td>,"<td>BlissClub is a community first women’s activewear brand. It is a Direct-to-Consumer brand in the active lifestyle space, founded in 2020 by ISB Alum Minu Margeret</td>",<td>Minu Margeret</td>,<td>Elevation Capital</td>,"<td>$2,000,000</td>",<td>Seed</td>
1544,<td>BricSpaces</td>,<td>2018</td>,<td>Bangalore</td>,<td>Real estate</td>,"<td>A prop-tech company that finds and customizes offices, living, or retail spaces based on your requirements.</td>",<td>Madhusudhan</td>,<td>Angel investors</td>,"<td>$350,000</td>",<td>Pre-seed</td>
