,Company Name,Founded,Location,Sector,What it does,Founders,Investor,Amount,Stage
590,<td>Kalvi</td>,<td>2021</td>,<td>Bangalore</td>,<td>Education Management</td>,<td>World's first liberal engineering degree in Computer Science. Partnership with top universities and enterprises.</td>,<td>Rajesh Kumar</td>,"<td>Nithin Kamath, Rahul Chari</td>","<td>1,700,000</td>",<td>Seed</td>
591,<td>Aastey</td>,<td>2020</td>,<td>Mumbai</td>,<td>Apparel &amp; Fashion</td>,"<td>Building India's first size inclusive brand for athleisure, activewear &amp; essentials for women.</td>","<td>Kanupriya Mundhra, Jeevika Tyagi</td>",<td>CXXO</td>,"<td>$1,300,000</td>",<td>Seed</td>
592,<td>Accelero Vehicles</td>,<td>2017</td>,<td>New Delhi</td>,<td>Automotive</td>,"<td>eBik™ developed by ""Accelero Vehicles India Private Limited” aims to provide motorized mobility for all.</td>",<td>Anant Jain</td>,"<td>Social Alpha, LetsVenture</td>","<td>$200,000</td>",<td>Seed</td>
593,<td>UP Funds</td>,<td>2017</td>,<td>Bangalore</td>,<td>SaaS</td>,<td>SaaS Accelerator for founders who care about optionality</td>,<td>Shekar Nair</td>,<td>WestBridge Capital</td>,"<td>$9,000,000</td>",<td></td>
594,<td>Koo</td>,<td>2020</td>,<td>Bangalore</td>,<td>Microblogging</td>,"<td>Koo App, the microblogging platform</td>","<td>Aprameya Radhakrishna,Mayank Bidawatka</td>","<td>Capsier Venture Partner, Ravi Modi Family Trust, Ashneer Grover, FBC Venture Partners, Adventz Finance</td>","<td>$10,000,000</td>",<td></td>
595,<td>DaMENSCH</td>,<td>2018</td>,<td>Bangalore</td>,<td>Apparel &amp; Fashion</td>,"<td>Innovative, sustainable, premium, essential fashion for men.</td>","<td>Anurag Saboo, Gaurav Pushkar</td>",<td>A91 Partners</td>,"<td>$10,000,000</td>",<td>Series B</td>
596,<td>TestSigma</td>,<td>2019</td>,<td>Bangalore</td>,<td>Information Technology &amp; Services</td>,<td>A powerful open source test automation platform for modern teams.</td>,"<td>Rukmangada Kandyala, Pratheep Velicherla, Vikram Chaitanya, Rajesh Reddy</td>","<td>Accel, STRIVE</td>","<td>$4,600,000</td>",<td></td>
597,<td>Upswing Financial Technologies</td>,<td>2021</td>,<td>Mumbai</td>,<td>Financial Services</td>,"<td>Enable consumer companies to offer differentiated financial products and empower the financial institutions with greater reach through our Secure, Scalable and easy to integrate API platform.</td>","<td>Anupam Bagchi, Nihar Gupta</td>","<td>Kunal Shah, Rajan Bajaj</td>","<td>$4,000,000</td>",<td></td>
598,<td>ClaimBuddy</td>,<td>2020</td>,<td>Gurgaon</td>,<td>Hospital &amp; Health Care</td>,<td>ClaimBuddy.in is a MediClaim support company that acts as one-stop solutions for Claim assistance for Patients &amp; Hospitals.</td>,"<td>Ajit Patel, Khet Singh</td>","<td>Chiratae Ventures, Rebright Partners</td>","<td>$3,000,000</td>",<td>Pre-series A</td>
599,<td>Mamaearth</td>,<td>2016</td>,<td>Gurgaon</td>,"<td>Health, Wellness &amp; Fitness</td>","<td>Making products which are mum-baby friendly, toxin-free, meet stringent international standards &amp; are basically ultra awesome, MamaEarth was born.</td>",<td>Varun Alagh</td>,<td>Sequoia</td>,"<td>$52,000,000</td>",<td></td>
600,<td>EsportsXO</td>,<td>2020</td>,<td>Bangalore</td>,<td>Mobile Games</td>,"<td>An esports company which offers tournament management, creator management &amp; content</td>","<td>Utsav Umang, Rohit Raj, Vikas Goel</td>","<td>We Founder Circle, Wami Capital, SucSEED Indovation Fund</td>","<td>$1,000,000</td>",<td>Seed</td>
601,<td>Geniemode</td>,<td>2021</td>,<td>Gurgaon</td>,<td>Import &amp; Export</td>,<td>Geniemode is building an extensive online platform solution for global buyers ranging from Mom &amp; Pop stores to global giant retailers.</td>,"<td>Tanuj Gangwani, Amit Sharma</td>","<td>Deepinder Goyal, Kunal Shah, Prashant Malik, Pankaj Gupta</td>","<td>$7,000,000</td>",<td>Series A</td>
602,<td>Exotel</td>,<td>2011</td>,<td>Bangalore</td>,<td>Telecommunications</td>,"<td>Customer engagement platform, streamlining customer interactions for Swiggy, Ola, Flipkart, GoJek etc.</td>",<td>Shivakumar Ganesan</td>,<td>Steadview Capital</td>,"<td>$40,000,000</td>",<td>Series D</td>
603,<td>Innoviti Payment Solutions</td>,<td>2002</td>,<td>Bangalore</td>,<td>Financial Services</td>,<td>Innoviti is India’s most exciting payments company that has always brought differentiation through innovative solutions to solve real-world payment problems for businesses.</td>,<td>Rajeev Agrawal</td>,"<td>Trifecta Debt Fund, Patni Advisors, Bessemer Venture Partners</td>","<td>$10,000,000</td>",<td></td>
604,<td>Pine Labs</td>,<td>1998</td>,<td>Noida</td>,<td>Information Technology &amp; Services</td>,"<td>Pine Labs offers a merchant platform that includes technology and financial solutions for merchants to help them in increasing their revenue, reducing the cost and complexity of running business, and managing the risks involved.</td>",<td>Amrish Rau</td>,<td>State Bank of India</td>,"<td>$20,000,000</td>",<td></td>
605,<td>Moneyboxx</td>,<td>2018</td>,<td>Mumbai</td>,<td>Financial Services</td>,<td>A NBFC democratising access to capital to the undeserved micro entrepreneurs in Tier 3 and beyond cities of the country.</td>,<td>MAYUR MODI</td>,<td></td>,"<td>$1,000,000</td>",<td></td>
606,<td>CASHe</td>,<td>2016</td>,<td>Mumbai</td>,<td>Financial Services</td>,<td>CASHe is a credit-enabled financial technology platform that offers a wide range of consumer lending products and services including personal loans</td>,<td>Raman</td>,<td>TSLC</td>,"<td>$10,000,000</td>",<td></td>
607,<td>iD Fresh Foods</td>,<td>2006</td>,<td>Bangalore</td>,<td>Food Production</td>,"<td>iD Fresh Food is professional assistant in the kitchen, helping rustle up 100% natural and authentic Indian meals in a jiffy; with no chemicals, preservatives or artificial flavors.</td>","<td>PC Musthafa, Abdul Naser</td>",<td>NewQuest Capital Partner</td>,"<td>$60,000,000</td>",<td>Series D</td>
608,<td>Freecultr</td>,<td>2020</td>,<td>New Delhi</td>,<td>Apparel &amp; Fashion</td>,"<td>FREECULTR is an inner, sleep, lounge and active wear brand where comfort meets style, premium meets affordable and skin meets its first love!</td>","<td>Shrey Luthra, Harshit Vij</td>",<td>Sixth Sense Ventures</td>,"<td>$5,000,000</td>",<td>Series</td>
609,<td>Udaan</td>,<td>2016</td>,<td>Bangalore</td>,<td>B2B E-commerce</td>,<td>Udaan is India’s largest b2b eCommerce platform that is empowering small businesses through the power and scale offered by eCommerce.</td>,"<td>Amod Malviya, Vaibhav Gupta, Sujeet Kumar</td>",<td></td>,"<td>$200,000,000</td>",<td></td>
610,<td>LivFin</td>,<td>2017</td>,<td>Gurgaon</td>,<td>Financial Services</td>,<td>LIVFIN is a Non-Banking Finance Company (NBFC) registered with the Reserve Bank of India.</td>,<td>Rakesh Malhotra</td>,<td>BlackSoil</td>,"<td>$2,000,000</td>",<td></td>
611,<td>Bambrew</td>,<td>2018</td>,<td>Bangalore</td>,<td>Renewables &amp; Environment</td>,<td>Empowering Sustainability</td>,<td>Eradicating Single Use Plastic</td>,<td>Uplifting Rural Development</td>,<td>Vaibhav Anant</td>,"<td>Blue Ashva Capital, Supack Industries</td>"
612,<td>Courseplay</td>,<td>2012</td>,<td>Mumbai</td>,<td>E-learning</td>,"<td>An AI-powered, talent development suite focused on maximizing training ROI for learning-led business growth</td>",<td>Arjun Gupta</td>,<td>Inflection Point Ventures</td>,"<td>$400,000</td>",<td>Seed</td>
613,<td>Dunzo</td>,<td>2015</td>,<td>Bangalore</td>,<td>E-commerce</td>,"<td>Dunzo is an all-in-one 24X7 delivery platform, that picks and delivers anything and everything within the city while guaranteeing super-quick deliveries.</td>","<td>Kabeer Biswas, Ankur Agarwal, Dalvir Suri, Mukund Jha</td>",<td>Reliance Retail Ventures Limited</td>,"<td>$240,000,000</td>",<td></td>
614,<td>Rupifi</td>,<td>2020</td>,<td>Bangalore</td>,<td>Financial Services</td>,<td>Building Financial Solutions for B2B Transactions and Payments</td>,"<td>Anubhav Jain, Ankit Singh, Jawaid Iqbal</td>","<td>Venture Partners, Tiger Global</td>","<td>$25,000,000</td>",<td>Series A</td>
615,<td>AarogyaAI</td>,<td>2019</td>,<td>New Delhi</td>,<td>Hospital &amp; Health Care</td>,<td>AI-enabled SaaS that diagnoses drug-resistant tuberculosis</td>,"<td>Praapti Jayaswal, Avlokita Tiwari</td>","<td>Redstart Labs, Avaana Capital</td>","<td>$700,000</td>",<td>Seed</td>
616,<td>Avataar</td>,<td>2014</td>,<td>Bangalore</td>,<td>3D AI company</td>,<td>Avataar is a 3D AI company that helps large enterprise customers create immersive and interactive shopping experiences for their end consumers.</td>,"<td>Prashanth Aluru, Sravanth Aluru, Gaurav Baid, Mayank Tiwari</td>","<td>Tiger Global, Sequoia Capital India</td>","<td>$45,000,000</td>",<td>Series B</td>
617,<td>Power Gummies</td>,<td>2018</td>,<td>New Delhi</td>,"<td>Health, Wellness &amp; Fitness</td>",<td>Sell crafted Gummies with Vitamins in pursuit of health powered by happiness and backed by Science.</td>,<td>Divij Bajaj</td>,"<td>9Unicorns, Wipro</td>","<td>$6,000,000</td>",<td>Series A</td>
618,<td>The ePlane Company</td>,<td>2017</td>,<td>Chennai</td>,<td>Aviation &amp; Aerospace</td>,<td>The ePlane Company was started at IIT Madras in April 2017 by Professor Satya Chakravarthy and Pranjal Mehta to transform the mobility landscape.</td>,"<td>Satya Chakravarthy, Pranjal Mehta</td>","<td>Speciale Invest, Micelio</td>","<td>$5,000,000</td>",<td>Pre-series A</td>
619,<td>Grip Invest</td>,<td>2020</td>,<td>Gurgaon</td>,<td>Financial Services</td>,"<td>Grip offers investment opportunities to invest in physical assets leased to corporates, to earn fixed monthly returns.</td>","<td>Nikhil Aggarwal, Vivek Gulati</td>",<td></td>,"<td>$1,000,000</td>",<td></td>
620,<td>Recykal</td>,<td>2017</td>,<td>Hyderabad</td>,<td>Information Technology &amp; Services</td>,"<td>Digital Technology company for Waste Management, Recycling Industry</td>","<td>Abhay Deshpande, Abhishek Deshpande</td>",<td>Morgan Stanley</td>,"<td>$22,000,000</td>",<td></td>
621,<td>DMI Finance</td>,<td>2008</td>,<td>New Delhi</td>,<td>Financial Services</td>,<td>A pan-India technology-driven financial services company focused on digital lending</td>,<td>Arindam Das</td>,<td>Sumitomo Mitsui Trust Bank</td>,"<td>$47,000,000</td>",<td></td>
622,<td>Rupeek</td>,<td>2015</td>,<td>Bangalore</td>,<td>Financial Services</td>,"<td>Rupeek is India’s leading asset-backed, digital lending fintech platform.</td>",<td>Sumit Maniyar</td>,<td>Lightbox</td>,"<td>$34,000,000</td>",<td></td>
623,<td>Ippo Pay</td>,<td>2020</td>,<td>Chennai</td>,<td>Financial Services</td>,"<td>Ippopay provides Payment Solutions for Businesses, SMEs, and Freelancers. IppoPay is the first Payment Gateway from TN</td>",<td>Jai Kumar</td>,<td>Coinbase Ventures</td>,"<td>$2,000,000</td>",<td></td>
624,<td>OneDios</td>,<td>2019</td>,<td>Noida</td>,<td>Information Technology &amp; Services</td>,"<td>OneDios founded in 2019  is a startup initiative to provide ""direct from company"" end customer service experience to all Indian customers.</td>",<td>Nitin Chawala</td>,"<td>India Angel Network, LetsVenture</td>","<td>$1,200,000</td>",<td></td>
625,<td>zeda.io</td>,<td>2021</td>,<td>Bangalore</td>,<td>Computer Software</td>,"<td>Zeda.io helps Product Teams and entrepreneurs to define, manage, and collaborate on their Products.</td>","<td>Vaibhav Devpura, Prashant Mahajan</td>",<td>BEENEXT</td>,"<td>$1,200,000</td>",<td>Seed</td>
626,<td>Glamplus</td>,<td>2020</td>,<td>Bangalore</td>,<td>Computer Software</td>,"<td>Glamplus is a SAAS platform in the beauty and wellness space to digitize $200bn economy of Salons, Spas and Gyms in India and the South-East Asia market. We are spread across 15+ cities.</td>",<td>Divyanshu Singh</td>,<td>Blume Ventures</td>,"<td>$700,000</td>",<td></td>
627,<td>Refyne</td>,<td>2020</td>,<td>Bangalore</td>,<td>Financial Services</td>,<td>Refyne partners with organisations to extend on-demand Earned Wage Access (EWA) to their employees.</td>,"<td>Chitresh Sharma, Apoorv Kumar</td>",<td>Tiger Global</td>,"<td>$82,000,000</td>",<td>Series B</td>
628,<td>Lendingkart</td>,<td>2014</td>,<td>Ahmedabad</td>,<td>Financial Services</td>,<td>Lendingkart Group aims to make working capital finance available at the fingertips of entrepreneurs</td>,"<td>Harshvardhan Lunia, Mukul Sachan</td>",<td>BlueOrchard Finance</td>,"<td>$5,900,000</td>",<td></td>
629,<td>Muvin</td>,<td>2020</td>,<td>Bangalore</td>,<td>Financial Services</td>,<td>Muvin aims to enable youth to get accustomed to banking from an early age.</td>,"<td>Vineet Gupta, Mukund Rao</td>",<td>WaterBridge Ventures</td>,"<td>$3,000,000</td>",<td>Pre-series A</td>
630,<td>Freadom</td>,<td>2008</td>,<td>Gurgaon</td>,<td>E-learning</td>,"<td>Freadom is India’s first comprehensive learning platform for children aged 3-12 to strengthen their English reading, speaking and conversation skills.</td>",<td>Nikhil Saraf</td>,"<td>Tiger Shroff, Ashneer Grover</td>","<td>$2,500,000</td>",<td></td>
631,<td>Traya</td>,<td>2019</td>,<td>Mumbai</td>,"<td>Health, Wellness &amp; Fitness</td>",<td>Traya provides doctor prescribed treatment plans that help manage hair loss upto stage 4.</td>,"<td>Saloni Anand, Altaf Saiyed</td>",<td>Fireside Ventures</td>,"<td>$2,200,000</td>",<td>Pre-series A</td>
632,<td>Praan</td>,<td>2017</td>,<td>Mumbai</td>,<td>Renewables &amp; Environment</td>,<td>Praan is a venture-backed deep tech start-up using breakthrough patent-pending technology for filter-less capture of particulates and carbon dioxide from ambient air.</td>,<td>Angad Daryani</td>,"<td>Better Capital, Paradigm Shift Capital, Avaana Capital</td>","<td>$1,500,000</td>",<td></td>
633,<td>Pepul</td>,<td>2020</td>,<td>Chennai</td>,<td>Computer Software</td>,"<td>Pepul is a new age Interest-based Social Networking platform from India, where people share their beautiful life stories &amp; skills on their interests.</td>",<td>Suresh Kumar</td>,"<td>Hourglass Venture Partners, Girish Mathrubootham, Vijay Shekhar Sharma</td>","<td>$1,300,000</td>",<td>Seed</td>
634,<td>Kaleidofin</td>,<td>2017</td>,<td>Chennai</td>,<td>Financial Services</td>,<td>Kaleidofin is a fintech platform that propels under-banked customers towards meeting their real life goals by providing intuitive and tailored financial solutions</td>,"<td>Puneet Gupta, Sucharita Mukherjee</td>",<td>Michael &amp; Susan Dell Foundation</td>,"<td>$10,000,000</td>",<td>Series B</td>
635,<td>LEAD School</td>,<td>2012</td>,<td>Mumbai</td>,<td>EdTech</td>,<td>LEAD is one of the fastest-growing School Ed-tech companies of India.</td>,"<td>Sumeet Yashpal Mehta, Smita Deorah</td>",<td>WestBridge Capital</td>,"<td>$100,000,000</td>",<td></td>
636,<td>Turnip</td>,<td>2020</td>,<td>Bangalore</td>,<td>Online Media</td>,<td>Turnip : Home of the mobile gaming community and gaming content creators.</td>,"<td>Aditya Sharma, Pooja Dubey</td>","<td>Greenoaks, Elevation Capital</td>","<td>$12,000,000</td>",<td>Series A</td>
637,<td>Rooter</td>,<td>2016</td>,<td>New Delhi</td>,<td>Mobile Games</td>,<td>Rooter is India’s Leading Game Streaming Platform.</td>,"<td>Piyush Kumar, Dipesh Agarwal</td>","<td>Lightbox, March Gaming, Duane Park</td>","<td>$25,000,000</td>",<td>Series A</td>
638,<td>ORAI Robotics</td>,<td>2019</td>,<td>Bangalore</td>,<td>Information Technology &amp; Services</td>,<td>AI-Powered Robotic Virtual Assistant (RVA) for Amplifying Performance of Poor quality leads and bring more MQL and SQL</td>,"<td>Swapnil Jain, Sujit Das Biswas</td>",<td>Inflection Point Ventures</td>,"<td>$800,000</td>",<td>Pre-series A</td>
639,<td>EVage</td>,<td>2014</td>,<td>Chandigarh</td>,<td>Automotive</td>,"<td>EVage is India's leading all-electric, purpose-built commercial vehicle OEM and has fused automobile designing with the ingenuity of aerospace engineering to reimagine and transform the mobility industry.</td>",<td>Inderveer Singh</td>,<td>RedBlue Capital</td>,"<td>$28,000,000</td>",<td>Seed</td>
640,<td>Chingari</td>,<td>2018</td>,<td>Bangalore</td>,<td>Entertainment</td>,<td>A unique and fun short video app where you can create interesting videos and share them with the world.</td>,"<td>Sumit Ghosh, Biswatma Nayak, Aditya Kothari, Deepak Salvi</td>","<td>Republic Capital, Onmobile, JPIN Venture Catalysts</td>","<td>$15,000,000</td>",<td>Series A</td>
641,<td>Your-Space</td>,<td>2016</td>,<td>New Delhi</td>,<td>Hospitality</td>,<td>Your space is an eco-system that serves as a safe residence for students.</td>,"<td>Nidhi Kumra, Shubha Lal, Karan Kaushish</td>","<td>Shantanu Rastogi, AJAX Capital, Holy Basil Consultancy Private Ltd</td>","<td>$10,000,000</td>",<td>Series A</td>
642,<td>ZingHR</td>,<td>2014</td>,<td>Mumbai</td>,<td>Information Technology &amp; Services</td>,"<td>Fully-integrated Global HRMS HRTech platform to deliver outcomes for future ready enterprises, CXOs &amp; leaders globally.</td>",<td>Prasad Rajappan</td>,<td>Tata Capital Growth Fund II</td>,"<td>$10,000,000</td>",<td></td>
643,<td>HEAPS</td>,<td>2021</td>,<td>Bangalore</td>,"<td>Health, Wellness &amp; Fitness</td>",<td>HEAPS is a health tech platform and Software as a Service (SaaS) provider</td>,<td>Dr Suman Katragadda</td>,<td>NVS Wealth Managers</td>,"<td>$550,000,000</td>",<td>Series A</td>
644,<td>nCORE Games</td>,<td>2018</td>,<td>Bangalore</td>,<td>Computer Games</td>,<td>India's leading mobile game publishers</td>,"<td>Ganesh Hande, Arindam Mitra, Vishal Gondal</td>","<td>Amitabh Singhal, Sandeep Nailwal</td>","<td>$10,000,000</td>",<td>Series A</td>
645,<td>CarzSo India</td>,<td>2019</td>,<td>Gurgaon</td>,<td>Automotive</td>,"<td>Offer a virtual reality of cars inside &amp; out, helping check out the features online from the comfort of home</td>",<td>Vaibhav Sharma</td>,<td>Mytash</td>,"<td>$700,000</td>",<td></td>
646,<td>Edustoke</td>,<td>2016</td>,<td>Bangalore</td>,<td>EdTech</td>,"<td>Edustoke is India's Largest School Discovery, Selection &amp; Reviews Platform.</td>","<td>Pawas Tyagi, Rohit Malik</td>",<td>Indus Initiatives</td>,"<td>$400,000</td>",<td>Seed</td>
647,<td>NewsReach</td>,<td>2018</td>,<td>Mumbai</td>,<td>Online Media</td>,<td>NewsReach is a Mumbai based company that wants to create a disruptive ecosystem of original and local news content.</td>,"<td>Darshan Shah, Soniya Kundnani</td>","<td>JITO Angel Network, Sharan Aggarwal</td>",<td>Undisclosed</td>,<td></td>
648,<td>Cloud Tailor</td>,<td>2020</td>,<td>Hyderabad</td>,<td>Apparel &amp; Fashion</td>,<td>World's Local Cloud Boutique mobile app - Exclusively for Ladieswear.</td>,"<td>Susmitha, Rudra Lakkakula</td>","<td>35North Ventures, Mergerdomo</td>","<td>$1,000,000</td>",<td>Pre-series A</td>
649,<td>Arya.Ag</td>,<td>2013</td>,<td>Noida</td>,<td>AgriTech</td>,<td>World's Local Cloud Boutique mobile app - Exclusively for Ladieswear.</td>,"<td>Chattanathan Devarajan, Prasanna Rao, Chandra</td>","<td>Asia Impact SA, Lightrock India, Quona Capital</td>","<td>$60,000,000</td>",<td>Series C</td>
650,<td>Epigeneres Biotech</td>,<td>2008</td>,<td>Mumbai</td>,<td>Biotechnology</td>,"<td>Epigeneres is a leading biotechnology company that discovers, develops, manufactures and commercializes molecular medicines and nutrigenomic formulations</td>",<td>Ashish Tripathi</td>,"<td>LetsVenture Angel Fund, Moez Daya</td>","<td>$60,000,000</td>",<td>Series B</td>
651,<td>INDmoney</td>,<td>2019</td>,<td>Gurgaon</td>,<td>Financial Services</td>,<td>INDmoney is a Super Money App that brings all family's finances to one place.</td>,<td>Ashish Kashyap</td>,"<td>Steadview Capital, Tiger Global, Dragoneer Investment Group</td>","<td>$75,000,000</td>",<td>Series D</td>
652,<td>Addverb Technologies</td>,<td>2016</td>,<td>Noida</td>,<td>Industrial Automation</td>,<td>Addverb is a global robotics company based out of India.</td>,"<td>Sangeet Kumar, Prateek Jain, Bir Singh, Satish Kumar Shukla, Amit Kumar</td>",<td>Reliance</td>,"<td>$132,000,000</td>",<td></td>
653,<td>Qarmatek</td>,<td>2011</td>,<td>Ahmedabad</td>,<td>Telecommunications</td>,<td>A credible after-sales service partner with customized &amp; predictive solutions for electronic gadgets &amp; appliance brands.</td>,"<td>Arun Hattangadi, Krunal Shah</td>","<td>Gujarat Venture Finance Limited, Caspian Debt</td>","<td>$3,000,000</td>",<td></td>
654,<td>AppX</td>,<td>2020</td>,<td>New Delhi</td>,<td>Tech startup</td>,<td>Enables creators to run their online businesses from their own storefront</td>,"<td>Sameer Sadana, Anuj Gupta</td>",<td>Y Combinator</td>,"<td>$1,300,000</td>",<td></td>
655,<td>MyCaptain</td>,<td>2013</td>,<td>Bangalore</td>,<td>EdTech</td>,<td>MyCaptain is an ed-tech startup that enables every human to pursue a career they love.</td>,"<td>Mohammed Zeeshan, Sameer Ramesh, Ruhan Naqash</td>",<td>Ankur Capital</td>,"<td>$3,000,000</td>",<td>Pre-series A</td>
656,<td>Mivi</td>,<td>2016</td>,<td>Hyderabad</td>,<td>Electrical &amp; Electronic Manufacturing</td>,<td>Mivi is an electronic accessories startup founded by two engineers with the goal of making Quality Affordable</td>,"<td>Viswanadh Kandula, Midhula</td>",<td>N+1 Capital</td>,<td>Undisclosed</td>,<td></td>
657,<td>HUVIAiR</td>,<td>2016</td>,<td>Bangalore</td>,<td>Computer Software</td>,<td>Huviair is a construction technology company that helps business' to enhance on-site productivity and reduce progress monitoring time while cutting down on overall project costs.</td>,"<td>Vikshut Mundkur, Arjun P Janananda</td>",<td>Chiratae Ventures</td>,"<td>$3,200,000</td>",<td>Series A</td>
658,<td>Aerostrovilos Energy</td>,<td>2017</td>,<td>Chennai</td>,<td>Machinery</td>,<td>Aerostrovilos is an IIT Madras-based startup company that manufactures micro gas turbines which can electrify heavy-duty long haul trucks</td>,"<td>Rohit Grover, Pradeep Thangappan</td>","<td>Tube Investment of India, Murugappa Group Company</td>","<td>$400,000</td>",<td>Seed</td>
659,<td>Scripbox</td>,<td>2012</td>,<td>Bangalore</td>,<td>Financial Services</td>,<td>Scripbox is India's leading digital wealth management service.</td>,"<td>Ashok Kumar, Sanjiv Singhal</td>","<td>Accel Partners, Transpose Platform, the Sparkle Fund</td>","<td>$21,000,000</td>",<td>Series D</td>
660,<td>Pluckk</td>,<td>2017</td>,<td>Mumbai</td>,<td>Food &amp; Beverages</td>,<td>Fresh produce food-tech venture</td>,<td>Pratik Gupta</td>,<td>Exponentia Ventures</td>,"<td>$5,000,000</td>",<td>Seed</td>
661,<td>Dogsee Chew</td>,<td>2015</td>,<td>Bangalore</td>,<td>Food &amp; Beverages</td>,<td>100% Natural Dog Treats.</td>,"<td>Bhupendra Khanal, Sneh Sharma</td>","<td>Mankind Pharma, Sixth Sense Ventures</td>","<td>$6,700,000</td>",<td>Series A</td>
662,<td>Lummo</td>,<td>2019</td>,<td>Bangalore</td>,<td>Entreprenurship</td>,<td>Empower SEA entrepreneurs to grow their business by providing them with the best technology &amp; partner solutions</td>,"<td>Krishnan, Lorenzo Peracchione</td>","<td>Tiger Global, Sequoia Capital India</td>","<td>$80,000,000</td>",<td>Series C</td>
663,<td>Threedots</td>,<td>2021</td>,<td>Bangalore</td>,<td>Financial Services</td>,<td>A community investing platform</td>,"<td>Prakhar Bhardwaj, Rishu Garg, Akul Agarwal</td>",<td>Kalaari Capital</td>,"<td>$4,000,000</td>",<td>Seed</td>
664,<td>MatchLog</td>,<td>2019</td>,<td>Mumbai</td>,<td>Logistics &amp; Supply Chain</td>,<td>First Multi-Modal Marketplace with Power of Triangulation and Cargo network to DELIVER ZERO WASTAGE</td>,<td>Dhruv Taneja</td>,"<td>Blue Ashva Capital, Rainmatter Climate, Capital-A</td>","<td>$3,000,000</td>",<td>Pre-series</td>
665,<td>NowPurchase</td>,<td>2017</td>,<td>Kolkata</td>,<td>B2B marketplace</td>,<td>Production driven procurement for India's 140B$ Metal Manufacturing Industry</td>,<td>Naman Shah</td>,"<td>Orios, InfoEdge Ventures</td>","<td>$2,400,000</td>",<td>Seed</td>
666,<td>Sahicoin</td>,<td>2021</td>,<td>Gurgaon</td>,<td>Financial Services</td>,"<td>Sahicoin aims to empower the next billion crypto enthusiasts to make faster and better investing decisions, by providing simple and actionable information from a global community of trusted friends and experts.</td>","<td>Ankush Rajput, Amit Nayak, Melbin Thomas</td>","<td>Alameda Ventures, Better Capital Ventures</td>","<td>$1,750,000</td>",<td>Seed</td>
667,<td>Finsall</td>,<td>2019</td>,<td>Bangalore</td>,<td>Financial Services</td>,<td>Finsall is an end-to-end technology process for insurance premium financing and has built a multi-lender platform for banks and NBFCs.</td>,"<td>Prabal Khanna, Tim Mathews</td>",<td>Unicorn India Ventures</td>,"<td>$1,000,000</td>",<td>Pre-series A</td>
668,<td>GameEon Studio</td>,<td>2013</td>,<td>Mumbai</td>,<td>Computer Games</td>,"<td>GameEon is based in the sleepless city of Mumbai, India and deals mainly in game development.</td>",<td>Nikhil Malankar</td>,"<td>Mrunal Jhaveri, Ajay Upadhyaya</td>","<td>$200,000</td>",<td></td>
669,<td>Trainn</td>,<td>2020</td>,<td>Chennai</td>,<td>Computer Software</td>,<td>Trainn helps SaaS companies accelerate product adoption with product training videos and academies.</td>,"<td>Vivekanandhan Natarajan, Sumana Abirami Ammaiyappan</td>",<td>Speciale Invest</td>,"<td>$700,000</td>",<td>Seed</td>
670,<td>Diginoor</td>,<td>2021</td>,<td>Chennai</td>,<td>Information Technology &amp; Services</td>,<td>A first of its kind NFT marketplace for the most exclusive and officially licensed Indian cinema collectibles.</td>,"<td>Shaamil Karim, Yash Rathod</td>","<td>Contrary Capital, Polygon Fund</td>","<td>$1,000,000</td>",<td>Seed</td>
671,<td>Pi Ventures</td>,<td>2016</td>,<td>Bangalore</td>,<td>Venture Capital &amp; Private Equity</td>,<td>Pioneering deep-tech investments in India!</td>,<td>Manish</td>,"<td>Binny Bansal, Varun Alagh</td>","<td>$40,000,000</td>",<td></td>
672,<td>SaaS Labs</td>,<td>2016</td>,<td>Noida</td>,<td>SaaS</td>,"<td>Building high impact communication, workflow and productivity tools for sales and support teams throughout the globe.</td>",<td>Gaurav Sharma</td>,<td>Sequoia Capital</td>,"<td>$42,000,000</td>",<td>Series B</td>
673,<td>StockGro</td>,<td>2020</td>,<td>Bangalore</td>,<td>Financial Services</td>,<td>Making Investment Social- India's First Social Trading Platform</td>,<td>Ajay Lakhotia</td>,"<td>BITKRAFT Ventures, General Catalyst, Itai Tsiddon</td>","<td>$32,000,000</td>",<td>Series A</td>
674,<td>GIVA</td>,<td>2019</td>,<td>Bangalore</td>,<td>Luxury Goods &amp; Jewelry</td>,"<td>GIVA is an online first silver jewellery store aiming with a vision to provide authentic, elegant, and affordable jewellery.</td>","<td>Ishendra Agarwal, Nikita Prasad, Sachin Shetty</td>","<td>Sixth Sense Ventures, A91 Partners</td>","<td>$10,000,000</td>",<td>Series A</td>
675,<td>toothsi</td>,<td>2018</td>,<td>Mumbai</td>,"<td>Health, Wellness &amp; Fitness</td>",<td>Toothsi offers at-home smile makeover service.</td>,"<td>Dr Arpi Mehta, Dr Pravin Shetty, Dr Manjul Jain, Dr Anirudh Kale</td>",<td>Stride Ventures</td>,"<td>$9,000,000</td>",<td></td>
676,<td>Zuper</td>,<td>2016</td>,<td>Chennai</td>,<td>Information Technology &amp; Services</td>,"<td>Zuper is an Enterprise mobility platform enabling organizations to manage, modernize and transform field and remote workforce.</td>","<td>Karthik V, Vijay Narasiman</td>","<td>Sequoia Capital India, Prime Venture Partners</td>","<td>$13,000,000</td>",<td>Series A</td>
